title,url,has_fee
An Innovative Model for Establishing Data Science Units in Academic Medical Centers,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313816,FALSE
Partial Identification for Capture-Recapture Surveys,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309722,FALSE
Methods for Inference of Microbial Interactions Using Copula Models with Mixture Margins,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=311070,FALSE
Explained Variance Decompositions for Mediation Effect Sizes with Multiple Exposures,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313568,FALSE
A Bayesian Model to Infer Contact Network Structure from HIV Epidemic Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314082,FALSE
A Minimax Optimal Ridge-Type Set Test for Global Hypothesis with Applications in Whole Genome Sequencing Association Studies,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314071,FALSE
Probabilistic Forecasts of Arctic Sea Ice Thickness,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313966,FALSE
Modeling the Marked Presence-Only Data: A Case Study of Estimating the Female Sex Worker Size in Malawi,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309723,FALSE
Revealing Spatial Gene Patterns and Interactions in Mouse Brain via Stability-Driven NMF,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312680,FALSE
Neyman-Pearson Classification Algorithms and NP Receiver Operating Characteristics,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313842,FALSE
Bayesian Meta-Analysis of Censored Rare Events,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312276,FALSE
Estimation of the Intensity Function of an Inhomogeneous Poisson Process with a Change-Point,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313074,FALSE
Achieving Differential Privacy with Elliptical Perturbations,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312899,FALSE
A Bayesian Semiparametric Approach to Estimating a Bacterium’s Wild-Type Distribution and Prevalence Estimation: Accounting for Contamination and Measurement Error (BayesACME),https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312492,FALSE
Ethical Academic Collaboration from the Outside In,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313158,FALSE
Addressing Measurement Error in Microbiome Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313833,FALSE
Sparse Functional Principal Component Analysis in High Dimensions,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309560,FALSE
Consistently Estimating Graph Statistics Using Aggregated Relational Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309685,FALSE
Unsupervised Multi-Granular Word Segmentation and Medical Term Discovery via Graph Partition,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312183,FALSE
The Future of Precision Health,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312488,FALSE
The Role of Stratification in Sequential Monte Carlo,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312601,FALSE
Latent Space Hawkes Processes,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313137,FALSE
GWEB-Anno: An Empirical-Bayes-Based Approach for Genetic Risk Prediction Using GWAS Summary Statistics and Functional Annotations,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313156,FALSE
Teaching Data Science Using Team-Based Learning,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309571,FALSE
Modeling Reciprocity: Designing a Collaborative Undergraduate Research Course,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312952,FALSE
Adaptive Testing of the Composite Null Hypotheses in Mediation Analysis,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313813,FALSE
Incorporating Prior Knowledge on Phenotyping Accuracy for Bias Reduction in Association Studies Using Electronic Health Records Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314104,FALSE
